City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tasiilaq,65.6145,-37.6368,260.24,260.24,0,2.9,GL,1679535533
1,bluff,-46.6,168.3333,289.71,289.71,45,3.7,NZ,1679535534
2,doha,25.2867,51.5333,293.14,290.32,0,3.09,QA,1679535534
3,te anau,-45.4167,167.7167,288.34,288.34,29,0.7,NZ,1679535535
4,waingapu,-9.6567,120.2641,301.54,301.54,100,1.2,ID,1679535535
5,mahibadhoo,3.7833,72.9667,300.76,300.76,100,1.44,MV,1679535535
6,udachnyy,66.4167,112.4,266.18,266.18,78,9.59,RU,1679535536
7,chokurdakh,70.6333,147.9167,247.69,247.69,76,2.62,RU,1679535536
8,honningsvag,70.9821,25.9704,265.01,265.01,40,5.14,NO,1679535536
9,ciudad bolivar,8.1222,-63.5497,300.56,300.56,100,6.72,VE,1679535536
10,caucaia,-3.7361,-38.6531,301.12,299.28,40,2.06,BR,1679535537
11,hermanus,-34.4187,19.2345,295.26,295.26,99,12.14,ZA,1679535070
12,nizhniy tsasuchey,50.5167,115.1333,263.94,263.94,100,7.34,RU,1679535537
13,caravelas,-17.7125,-39.2481,296.79,296.79,0,2.31,BR,1679535537
14,hambantota,6.1241,81.1185,297.34,297.34,40,0.51,LK,1679535538
15,butaritari,3.0707,172.7902,300.61,300.61,100,5.67,KI,1679535538
16,ewa beach,21.3156,-158.0072,301.8,298.37,0,4.12,US,1679535538
17,port alfred,-33.5906,26.891,293.81,293.81,100,6.41,ZA,1679535539
18,torbay,47.6666,-52.7314,272.36,271.02,100,3.6,CA,1679535367
19,atuona,-9.8,-139.0333,299.91,299.91,0,3.64,PF,1679535539
20,arraial do cabo,-22.9661,-42.0278,296.13,296.13,20,1.03,BR,1679535539
